red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
MONTANA DE LA ROSA,ARIANE DA SILVA,2021-06-05,10 10 10,9 9 9
WALT HARRIS,MARCIN TYBURA,2021-06-05,- - -,- - -
JAIRZINHO ROZENSTRUIK,AUGUSTO SAKAI,2021-06-05,- - -,- - -
ROMAN DOLIDZE,LAUREANO STAROPOLI,2021-06-05,30 30 30,27 27 27
SANTIAGO PONZINIBBIO,MIGUEL BAEZA,2021-06-05,29 29 29,28 28 28
SEAN WOODSON,YOUSSEF ZALAL,2021-06-05,28 29 29,29 28 28
MANON FIOROT,TABATHA RICCI,2021-06-05,10 10 10,9 9 9
CLAUDIO PUELLES,JORDAN LEAVITT,2021-06-05,29 29 29,28 28 28
MAKWAN AMIRKHANI,KAMUELA KIRK,2021-06-05,28 27 28,29 30 29
ALAN PATRICK,MASON JONES,2021-06-05,8 8 8,10 10 10
SEAN WOODSON,DENNIS BUZUKJA,2023-08-05,30 30 30,27 27 27
ODE OSBOURNE,ASU ALMABAYEV,2023-08-05,9 9 9,10 10 10
JESSICA ANDRADE,TATIANA SUAREZ,2023-08-05,9 9 9,10 10 10
CORY SANDHAGEN,ROB FONT,2023-08-05,50 50 50,45 45 45
DIEGO LOPES,GAVIN TUCKER,2023-08-05,- - -,- - -
DUSTIN JACOBY,KENNEDY NZECHUKWU,2023-08-05,- - -,- - -
TANNER BOSER,ALEKSA CAMUR,2023-08-05,30 30 30,27 27 27
IGNACIO BAHAMONDES,LUDOVIT KLEIN,2023-08-05,28 28 27,29 29 30
CODY DURDEN,JAKE HADLEY,2023-08-05,30 30 30,27 27 27
BILLY QUARANTILLO,DAMON JACKSON,2023-08-05,29 29 29,28 28 28
KYLER PHILLIPS,RAONI BARCELOS,2023-08-05,29 29 30,28 28 27
JEREMIAH WELLS,CARLSTON HARRIS,2023-08-05,20 20 20,18 18 17
ALISTAIR OVEREEM,AUGUSTO SAKAI,2020-09-05,39 38 38,36 37 37
OVINCE SAINT PREUX,ALONZO MENIFIELD,2020-09-05,10 10 9,9 9 10
BRIAN KELLEHER,RAY RODRIGUEZ,2020-09-05,- - -,- - -
MICHEL PEREIRA,ZELIM IMADAEV,2020-09-05,20 20 20,18 18 18
COLE SMITH,HUNTER AZURE,2020-09-05,28 28 28,29 29 29
ANDRE MUNIZ,BARTOSZ FABINSKI,2020-09-05,- - -,- - -
BRIAN KELLEHER,RAY RODRIGUEZ,2020-09-05,- - -,- - -
VIVIANE ARAUJO,MONTANA DE LA ROSA,2020-09-05,29 30 30,28 27 27
COURT MCGEE,TIM MEANS,2024-10-05,- - -,- - -
ALEX PEREIRA,KHALIL ROUNTREE JR.,2024-10-05,28 28 28,29 29 29
