red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
DANNY ROBERTS,JONNY PARSONS,2023-07-22,10 9 10,9 10 9
MARC DIAKIESE,JOEL ALVAREZ,2023-07-22,9 9 10,10 10 9
NATHANIEL WOOD,ANDRE FILI,2023-07-22,29 29 29,28 28 28
DAVEY GRANT,DANIEL MARCOS,2023-07-22,29 28 28,28 29 29
TOM ASPINALL,MARCIN TYBURA,2023-07-22,- - -,- - -
LERONE MURPHY,JOSH CULIBAO,2023-07-22,30 30 30,26 27 26
MICK PARKIN,JAMAL POGUES,2023-07-22,30 30 30,27 27 27
MAKHMUD MURADOV,BRYAN BARBERENA,2023-07-22,30 30 30,27 27 27
CHRIS DUNCAN,YANAL ASHMOUZ,2023-07-22,29 30 30,28 27 27
KETLEN VIEIRA,PANNIE KIANZAD,2023-07-22,29 29 29,28 28 28
EDMEN SHAHBAZYAN,AJ DOBSON,2024-03-23,- - -,- - -
PAYTON TALBOTT,CAMERON SAAIMAN,2024-03-23,10 10 10,9 9 9
MOHAMMED USMAN,MICK PARKIN,2024-03-23,28 28 28,29 29 29
MONTSERRAT RENDON,DARIA ZHELEZNIAKOVA,2024-03-23,28 28 28,29 29 29
IGOR SEVERINO,ANDRE LIMA,2024-03-23,9 9 10,10 10 9
JARNO ERRENS,STEVEN NGUYEN,2024-03-23,30 30 30,27 27 27
KARL WILLIAMS,JUSTIN TAFA,2024-03-23,30 29 29,27 28 28
MILES JOHNS,CODY GIBSON,2024-03-23,30 30 30,27 27 27
BILLY QUARANTILLO,YOUSSEF ZALAL,2024-03-23,9 9 9,10 10 10
FERNANDO PADILLA,LUIS PAJUELO,2024-03-23,- - -,- - -
AMANDA RIBAS,ROSE NAMAJUNAS,2024-03-23,46 47 46,49 48 49
RICARDO RAMOS,JULIAN EROSA,2024-03-23,- -,- -
KURT HOLOBAUGH,TREY OGDEN,2024-03-23,27 27 27,30 30 30
JORDAN WRIGHT,MARC-ANDRE BARRIAULT,2022-04-23,- - -,- - -
LANDO VANNATA,CHARLES JOURDAIN,2022-04-23,- - -,- - -
TYSON PEDRO,IKE VILLANUEVA,2022-04-23,- - -,- - -
AMANDA LEMOS,JESSICA ANDRADE,2022-04-23,- - -,- - -
DWIGHT GRANT,SERGEY KHANDOZHKO,2022-04-23,10 10 10,9 9 9
CLAY GUIDA,CLAUDIO PUELLES,2022-04-23,- - -,- - -
AORIQILENG,CAMERON ELSE,2022-04-23,- - -,- - -
PRESTON PARSONS,EVAN ELDER,2022-04-23,30 30 30,26 27 27
MAYCEE BARBER,MONTANA DE LA ROSA,2022-04-23,30 30 30,27 27 27
MARCIN PRACHNIO,PHILIPE LINS,2022-04-23,28 28 28,29 29 29
DEAN BARRY,MIKE JACKSON,2022-04-23,- - -,- - -
MAKWAN AMIRKHANI,JONATHAN PEARCE,2022-07-23,9 9 9,10 10 10
MUHAMMAD MOKAEV,CHARLES JOHNSON,2022-07-23,30 30 30,27 27 27
JAI HERBERT,KYLE NELSON,2022-07-23,29 29 29,28 28 28
PAUL CRAIG,VOLKAN OEZDEMIR,2022-07-23,27 27 27,30 30 30
MASON JONES,LUDOVIT KLEIN,2022-07-23,27 27 27,30 30 30
MANDY BOHM,VICTORIA LEONARDO,2022-07-23,27 27 27,30 30 30
CURTIS BLAYDES,TOM ASPINALL,2022-07-23,- - -,- - -
NATHANIEL WOOD,CHARLES ROSA,2022-07-23,30 30 30,26 26 27
CLAUDIO SILVA,NICOLAS DALBY,2022-07-23,28 28 27,29 29 29
MARC DIAKIESE,DAMIR HADZOVIC,2022-07-23,30 30 30,27 26 26
NIKITA KRYLOV,ALEXANDER GUSTAFSSON,2022-07-23,- - -,- - -
MOLLY MCCANN,HANNAH GOLDY,2022-07-23,- - -,- - -
PADDY PIMBLETT,JORDAN LEAVITT,2022-07-23,10 10 10,9 9 9
JACK HERMANSSON,CHRIS CURTIS,2022-07-23,29 30 29,28 27 28
BRYAN BATTLE,AJ FLETCHER,2023-09-23,9 9 9,10 10 10
RICARDO RAMOS,CHARLES JOURDAIN,2023-09-23,- - -,- - -
MOHAMMED USMAN,JAKE COLLIER,2023-09-23,29 30 29,28 27 28
MARINA RODRIGUEZ,MICHELLE WATERSON-GOMEZ,2023-09-23,10 10 10,8 8 8
BRYCE MITCHELL,DAN IGE,2023-09-23,30 29 29,27 28 28
JACOB MALKOUN,CODY BRUNDAGE,2023-09-23,- - -,- - -
DAN ARGUETA,MILES JOHNS,2023-09-23,27 27 28,30 30 29
TIM MEANS,ANDRE FIALHO,2023-09-23,20 20 20,18 18 18
RAFAEL FIZIEV,MATEUSZ GAMROT,2023-09-23,10 10 10,9 10 9
TAMIRES VIDAL,MONTSERRAT RENDON,2023-09-23,28 29 28,29 28 29
MIZUKI,HANNAH GOLDY,2023-09-23,29 29 29,28 28 28
NICOLAE NEGUMEREANU,IKE VILLANUEVA,2021-10-23,- - -,- - -
FRANCISCO TRINALDO,DWIGHT GRANT,2021-10-23,29 27 29,27 29 27
JUNYONG PARK,GREGORY RODRIGUES,2021-10-23,9 9 9,10 10 10
MASON JONES,DAVID ONAMA,2021-10-23,29 29 29,28 28 28
ALEX CACERES,SEUNGWOO CHOI,2021-10-23,9 9 9,9 9 9
JESSICA-ROSE CLARK,JOSELYNE EDWARDS,2021-10-23,29 30 30,28 27 27
PAULO COSTA,MARVIN VETTORI,2021-10-23,4746 47.46 746,48 48 48
GRANT DAWSON,RICKY GLENN,2021-10-23,29 28 28,28 28 28
JONATHAN MARTINEZ,ZVIAD LAZISHVILI,2021-10-23,30 29 29,27 28 28
LIVINHA SOUZA,RANDA MARKOS,2021-10-23,28 27 27,29 30 30
KHAMA WORTHY,JAI HERBERT,2021-10-23,- - -,- - -
JEFF MOLINA,DANIEL LACERDA,2021-10-23,10 10 10,9 9 9
JAMIE PICKETT,LAUREANO STAROPOLI,2021-10-23,29 30 30,28 27 27
TABATHA RICCI,MARIA OLIVEIRA,2021-10-23,30 30 30,27 27 27
VOLKAN OEZDEMIR,NIKITA KRYLOV,2022-10-23,27 28 28,30 29 29
ABUBAKAR NURMAGOMEDOV,GADZHI OMARGADZHIEV,2022-10-23,29 30 29,28 27 28
MAKHMUD MURADOV,CAIO BORRALHO,2022-10-23,27 27 28,30 30 29
BELAL MUHAMMAD,SEAN BRADY,2022-10-23,10 9 10,6 10 9
KAROL ROSA,LINA LANSBERG,2022-10-23,29 28 29,27 28 27
ALJAMAIN STERLING,TJ DILLASHAW,2022-10-23,10 10 10,8 8 8
PETR YAN,SEAN O'MALLEY,2022-10-23,28 28 29,29 29 28
KATLYN CERMINARA,MANON FIOROT,2022-10-23,28 28 28,29 29 29
BENEIL DARIUSH,MATEUSZ GAMROT,2022-10-23,30 30 29,27 27 28
MUHAMMAD MOKAEV,MALCOLM GORDON,2022-10-23,20 20 20,18 18 18
ARMEN PETROSYAN,AJ DOBSON,2022-10-23,30 30 30,27 27 27
CHARLES OLIVEIRA,ISLAM MAKHACHEV,2022-10-23,9 9 9,10 10 10
DUSTIN POIRIER,CONOR MCGREGOR,2021-01-24,9 9 9,10 10 10
DAN HOOKER,MICHAEL CHANDLER,2021-01-24,- - -,- - -
JESSICA EYE,JOANNE WOOD,2021-01-24,28 27 27,29 30 30
AMIR ALBAZI,ZHALGAS ZHUMAGULOV,2021-01-24,29 29 29,28 28 28
NIK LENTZ,MOVSAR EVLOEV,2021-01-24,28 29 28,29 28 29
MARINA RODRIGUEZ,AMANDA RIBAS,2021-01-24,9 9 9,10 10 10
ANDREW SANCHEZ,MAKHMUD MURADOV,2021-01-24,18 18 19,20 20 19
KHALIL ROUNTREE JR.,MARCIN PRACHNIO,2021-01-24,28 28 28,29 29 29
JULIANNA PENA,SARA MCMANN,2021-01-24,19 19 19,19 19 19
ARMAN TSARUKYAN,MATT FREVOLA,2021-01-24,30 30 30,27 26 27
BRAD TAVARES,ANTONIO CARLOS JUNIOR,2021-01-24,30 29 30,27 28 27
ERIK SILVA,MUHAMMAD NAIMOV,2024-02-24,- - -,- - -
BRANDON MORENO,BRANDON ROYVAL,2024-02-24,47 49 47,48 46 48
CRISTIAN QUINONEZ,RAONI BARCELOS,2024-02-24,19 19 20,19 19 18
JESUS AGUILAR,MATEUS MENDONCA,2024-02-24,29 29 28,28 28 29
MANUEL TORRES,CHRIS DUNCAN,2024-02-24,- - -,- - -
YAZMIN JAUREGUI,SAM HUGHES,2024-02-24,30 30 30,27 27 27
EDGAR CHAIREZ,DANIEL LACERDA,2024-02-24,- - -,- - -
CLAUDIO PUELLES,FARES ZIAM,2024-02-24,29 27 28,28 30 29
VICTOR ALTAMIRANO,FELIPE DOS SANTOS,2024-02-24,30 28 28,27 29 29
YAIR RODRIGUEZ,BRIAN ORTEGA,2024-02-24,18 19 19,18 19 19
DANIEL ZELLHUBER,FRANCISCO PRADO,2024-02-24,29 29 30,28 28 26
RONALDO RODRIGUEZ,DENYS BONDAR,2024-02-24,9 9 9,10 10 10
KAZULA VARGAS,RONGZHU,2021-04-24,30 29 29,26 28 28
BATGEREL DANAA,KEVIN NATIVIDAD,2021-04-24,10 8 10,8 10 8
KARL ROBERSON,BRENDAN ALLEN,2021-04-24,8 8 8,10 10 10
PAT SABATINI,TRISTAN CONNELLY,2021-04-24,29 29 30,28 28 27
ANTHONY SMITH,JIMMY CRUTE,2021-04-24,10 10 10,9 9 9
URIAH HALL,CHRIS WEIDMAN,2021-04-24,3 8 7,8 10 10
ZHANG WEILI,ROSE NAMAJUNAS,2021-04-24,- - -,- - -
ALEX OLIVEIRA,RANDY BROWN,2021-04-24,9 8,10 10
DWIGHT GRANT,STEFAN SEKULIC,2021-04-24,28 29 29,29 28 28
KAMARU USMAN,JORGE MASVIDAL,2021-04-24,10 9 20,9 10 17
VALENTINA SHEVCHENKO,JESSICA ANDRADE,2021-04-24,20 20 20,17 17 17
AORIQILENG,JEFF MOLINA,2021-04-24,27 28 28,29 29 29
LIANG NA,ARIANE CARNELOSSI,2021-04-24,8 19 10,10 19 9
JOSH EMMETT,ILIA TOPURIA,2023-06-24,44 42 45,50 50 49
ZHALGAS ZHUMAGULOV,JOSHUA VAN,2023-06-24,28 28 29,29 29 28
TABATHA RICCI,GILLIAN ROBERTSON,2023-06-24,29 30 29,28 27 28
AMANDA RIBAS,MAYCEE BARBER,2023-06-24,9 9 9,10 10 10
RANDY BROWN,WELLINGTON TURMAN,2023-06-24,29 29 29,28 28 28
CODY BRUNDAGE,SEDRIQUES DUMAS,2023-06-24,27 28 27,30 29 30
MATEUSZ REBECKI,LOIK RADZHABOV,2023-06-24,10 10 10,9 9 9
DAVID ONAMA,GABRIEL SANTOS,2023-06-24,9 9 9,10 10 10
AUSTEN LANE,JUSTIN TAFA,2023-06-24,- - -,- - -
BRENDAN ALLEN,BRUNO SILVA,2023-06-24,- - -,- - -
NEIL MAGNY,PHIL ROWE,2023-06-24,28 29 29,29 28 28
TREVOR PEEK,CHEPE MARISCAL,2023-06-24,27 27 27,30 30 30
JAMALL EMMERS,JACK JENKINS,2023-06-24,28 30 28,29 27 29
PUNAHELE SORIANO,BRENDAN ALLEN,2021-07-24,27 28 27,30 29 30
ADRIAN YANEZ,RANDY COSTA,2021-07-24,9 9 9,10 10 10
DARREN ELKINS,DARRICK MINNER,2021-07-24,9 9 9,10 10 10
MIRANDA MAVERICK,MAYCEE BARBER,2021-07-24,28 28 29,29 29 28
MICKEY GALL,JORDAN WILLIAMS,2021-07-24,- - -,- - -
KYLER PHILLIPS,RAULIAN PAIVA,2021-07-24,28 28 28,29 28 29
CORY SANDHAGEN,TJ DILLASHAW,2021-07-24,48 47 47,47 48 48
NASSOURDINE IMAVOV,IAN HEINISCH,2021-07-24,10 10 10,9 9 9
JULIO ARCE,ANDRE EWELL,2021-07-24,10 10 10,9 9 9
SIJARA EUBANKS,ELISE REED,2021-07-24,- - -,- - -
DIANA BELBITA,HANNAH GOLDY,2021-07-24,30 30 30,27 27 27
KAAN OFLI,MAIRON SANTOS,2024-08-24,9 9 9,10 10 10
ROBERT VALENTIN,RYAN LODER,2024-08-24,9 9 9,10 10 10
EDMEN SHAHBAZYAN,GERALD MEERSCHAERT,2024-08-24,10 10 10,9 9 9
NEIL MAGNY,MICHAEL MORALES,2024-08-24,- - -,- - -
DENNIS BUZUKJA,FRANCIS MARSHALL,2024-08-24,29 27 28,28 30 29
ZACHARY REESE,JOSE DANIEL MEDINA,2024-08-24,30 30 30,27 27 27
WANG CONG,VICTORIA LEONARDO,2024-08-24,- - -,- - -
ZYGIMANTAS RAMASKA,NATHAN FLETCHER,2024-08-24,- - -,- - -
VIACHESLAV BORSHCHEV,JAMES LLONTOP,2024-08-24,30 29 28,27 28 29
JACQUELINE CAVALCANTI,JOSIANE NUNES,2024-08-24,30 29 27,27 28 30
JARED CANNONIER,CAIO BORRALHO,2024-08-24,45 46 45,49 48 49
ANGELA HILL,TABATHA RICCI,2024-08-24,28 28 28,29 29 29
ALEX OLIVEIRA,SHAVKAT RAKHMONOV,2020-10-24,- - -,- - -
DA-UN JUNG,SAM ALVEY,2020-10-24,28 28 29,28 29 28
LIANA JOJUA,MIRANDA MAVERICK,2020-10-24,9 9 8,10 10 10
JOEL ALVAREZ,ALEXANDER YAKOVLEV,2020-10-24,- - -,- - -
ALEXANDER VOLKOV,WALT HARRIS,2020-10-24,10 10 10,9 9 9
JACOB MALKOUN,PHIL HAWES,2020-10-24,- - -,- - -
ROBERT WHITTAKER,JARED CANNONIER,2020-10-24,29 29 29,28 28 28
KHABIB NURMAGOMEDOV,JUSTIN GAETHJE,2020-10-24,9 10 9,10 9 10
LAUREN MURPHY,LILIYA SHAKIROVA,2020-10-24,10 10 10,9 9 9
MAGOMED ANKALAEV,ION CUTELABA,2020-10-24,- - -,- - -
NATHANIEL WOOD,CASEY KENNEY,2020-10-24,28 28 27,29 29 30
STEFAN STRUVE,TAI TUIVASA,2020-10-24,- - -,- - -
AUGUSTO SAKAI,DON'TALE MAYES,2023-02-25,30 30 30,27 27 27
ANDRE MUNIZ,BRENDAN ALLEN,2023-02-25,19 18 18,19 20 20
RAFAEL ALVES,NURULLO ALIEV,2023-02-25,27 27 28,29 29 28
MIKE MALOTT,YOHAN LAINESSE,2023-02-25,- - -,- - -
TATIANA SUAREZ,MONTANA DE LA ROSA,2023-02-25,10 10 10,9 9 9
JOE SOLECKI,CARL DEATON,2023-02-25,10 10 10,9 9 9
ERICK GONZALEZ,TREVOR PEEK,2023-02-25,- - -,- - -
JASMINE JASUDAVICIUS,GABRIELLA FERNANDES,2023-02-25,30 30 30,26 26 26
ODE OSBOURNE,CHARLES JOHNSON,2023-02-25,28 29 29,29 28 28
JORDAN LEAVITT,VICTOR MARTINEZ,2023-02-25,- - -,- - -
TREVIN GILES,PRESTON PARSONS,2023-03-25,29 28 29,28 29 28
STEVEN PETERSON,LUCAS ALEXANDER,2023-03-25,27 27 27,30 30 30
CHIDI NJOKUANI,ALBERT DURAEV,2023-03-25,10 10 9,9 9 10
DANIEL PINEDA,TUCKER LUTZ,2023-03-25,10 10 9,9 9 10
HOLLY HOLM,YANA SANTOS,2023-03-25,30 30 30,26 27 27
MARLON VERA,CORY SANDHAGEN,2023-03-25,46 45 48,49 50 47
NATE LANDWEHR,AUSTIN LINGO,2023-03-25,9 9 9,10 10 10
ANDREA LEE,MAYCEE BARBER,2023-03-25,29 28 27,28 29 30
CJ VERGARA,DANIEL LACERDA,2023-03-25,9 8 9,10 10 10
VICTOR ALTAMIRANO,VINICIUS SALVADOR,2023-03-25,29 29 29,28 28 28
BRIAN KELLEHER,MARIO BAUTISTA,2022-06-25,- - -,- - -
VANESSA DEMOPOULOS,JINH YU FREY,2022-06-25,28 29 30,29 28 27
NEIL MAGNY,SHAVKAT RAKHMONOV,2022-06-25,9 9 9,10 10 10
ARMAN TSARUKYAN,MATEUSZ GAMROT,2022-06-25,47 47 47,48 48 48
NATE MANESS,UMAR NURMAGOMEDOV,2022-06-25,25 27 26,30 30 30
CHRIS CURTIS,RODOLFO VIEIRA,2022-06-25,29 29 29,28 28 28
THIAGO MOISES,CHRISTOS GIAGOS,2022-06-25,- - -,- - -
JOSH PARISIAN,ALAN BAUDOT,2022-06-25,9 9 10,10 10 9
CARLOS ULBERG,TAFON NCHUKWI,2022-06-25,- - -,- - -
SHAYILAN NUERDANBIEKE,TJ BROWN,2022-06-25,29 29 29,28 28 28
JP BUYS,CODY DURDEN,2022-06-25,- - -,- - -
RAULIAN PAIVA,SERGEY MOROZOV,2022-06-25,28 28 28,29 29 29
DAN HOOKER,NASRAT HAQPARAST,2021-09-25,30 30 30,27 27 26
MARLON MORAES,MERAB DVALISHVILI,2021-09-25,10 10 9,9 9 10
SHAMIL ABDURAKHIMOV,CHRIS DAUKAUS,2021-09-25,8 9 9,10 10 10
ROXANNE MODAFFERI,TAILA SANTOS,2021-09-25,30 30 30,27 27 27
JONATHAN PEARCE,OMAR MORALES,2021-09-25,10 10 10,9 9 9
MATTHEW SEMELSBERGER,MARTIN SANO,2021-09-25,- - -,- - -
UROS MEDIC,JALIN TURNER,2021-09-25,- - -,- - -
CODY BRUNDAGE,NICK MAXIMOV,2021-09-25,28 28 28,29 29 29
NICK DIAZ,ROBBIE LAWLER,2021-09-25,19 19 18,19 19 20
VALENTINA SHEVCHENKO,LAUREN MURPHY,2021-09-25,- - -,- - -
ALEXANDER VOLKANOVSKI,BRIAN ORTEGA,2021-09-25,49 50 50,46 44 45
JESSICA ANDRADE,CYNTHIA CALVILLO,2021-09-25,- -,- -
CURTIS BLAYDES,JAIRZINHO ROZENSTRUIK,2021-09-25,30 30 30,27 27 27
LUIS SALDANA,BRUNO SOUZA,2022-03-26,29 29 29,28 28 28
MARC DIAKIESE,VIACHESLAV BORSHCHEV,2022-03-26,30 30 30,27 27 27
NEIL MAGNY,MAX GRIFFIN,2022-03-26,29 28 29,28 29 28
MATHEUS NICOLAU,DAVID DVORAK,2022-03-26,29 29 29,28 28 28
MATT BROWN,BRYAN BARBERENA,2022-03-26,28 29 28,29 28 29
ALIASKHAB KHIZRIEV,DENIS TIULIULIN,2022-03-26,10 10 10,9 9 9
JENNIFER MAIA,MANON FIOROT,2022-03-26,27 27 27,30 30 30
ASKAR ASKAROV,KAI KARA-FRANCE,2022-03-26,28 28 28,29 29 29
CURTIS BLAYDES,CHRIS DAUKAUS,2022-03-26,10 10 10,9 9 9
JOANNE WOOD,ALEXA GRASSO,2022-03-26,- - -,- - -
SARA MCMANN,KAROL ROSA,2022-03-26,29 29 29,28 28 28
CHRIS GUTIERREZ,BATGEREL DANAA,2022-03-26,9 9 9,10 10 10
ANDRE FILI,DANIEL PINEDA,2021-06-26,10 10 10,8 9 9
TIM MEANS,NICOLAS DALBY,2021-06-26,29 29 29,28 28 28
KENNEDY NZECHUKWU,DANILO MARQUES,2021-06-26,18 19 18,20 19 20
RENATO MOICANO,JAI HERBERT,2021-06-26,10 10 10,9 9 9
TANNER BOSER,OVINCE SAINT PREUX,2021-06-26,10 10 10,9 9 9
RAONI BARCELOS,TIMUR VALIEV,2021-06-26,28 28 28,29 29 28
CIRYL GANE,ALEXANDER VOLKOV,2021-06-26,50 50 49,45 45 46
JULIA AVILA,JULIJA STOLIARENKO,2021-06-26,18 19 20,20 19 18
MARCIN PRACHNIO,IKE VILLANUEVA,2021-06-26,9 9 9,10 10 10
CHARLES ROSA,JUSTIN JAYNES,2021-06-26,30 28 29,27 29 28
YANCY MEDEIROS,DAMIR HADZOVIC,2021-06-26,28 28 28,29 29 29
SHAVKAT RAKHMONOV,MICHEL PRAZERES,2021-06-26,10 10 10,9 9 9
WARLLEY ALVES,JEREMIAH WELLS,2021-06-26,9 9 9,10 10 10
SONG KENAN,ROLANDO BEDOYA,2023-08-26,29 29 29,28 28 28
CHIDI NJOKUANI,MICHAL OLEKSIEJCZUK,2023-08-26,- - -,- - -
SEUNGWOO CHOI,JARNO ERRENS,2023-08-26,30 29 29,27 28 28
LIANG NA,JJ ALDRICH,2023-08-26,10 10 9,9 9 10
BILLY RAY GOFF,YUSAKU KINOSHITA,2023-08-26,- - -,- - -
MAX HOLLOWAY,CHAN SUNG JUNG,2023-08-26,19 20 20,19 17 18
ANTHONY SMITH,RYAN SPANN,2023-08-26,29 29 28,28 28 29
RINYA NAKAMURA,FERNIE GARCIA,2023-08-26,30 30 30,26 27 27
GIGA CHIKADZE,ALEX CACERES,2023-08-26,30 30 30,27 27 27
WALDO CORTES-ACOSTA,LUKASZ BRZESKI,2023-08-26,- - -,- - -
TOSHIOMI KAZAMA,GARRETT ARMFIELD,2023-08-26,- - -,- - -
JUNIOR TAFA,PARKER PORTER,2023-08-26,- - -,- - -
ERIN BLANCHFIELD,TAILA SANTOS,2023-08-26,29 29 29,28 28 28
ROBERT WHITTAKER,KHAMZAT CHIMAEV,2024-10-26,- - -,- - -
MAGOMED ANKALAEV,ALEKSANDAR RAKIC,2024-10-26,29 29 29,28 28 28
SHARA MAGOMEDOV,ARMEN PETROSYAN,2024-10-26,10 10 10,9 9 9
LERONE MURPHY,DAN IGE,2024-10-26,29 29 29,28 28 28
ILIA TOPURIA,MAX HOLLOWAY,2024-10-26,20 20 19,18 18 19
ABUS MAGOMEDOV,BRUNNO FERREIRA,2024-10-26,19 19 19,19 19 19
MATEUSZ REBECKI,MYKTYBEK OROLBAI,2024-10-26,29 29 28,28 28 29
KENNEDY NZECHUKWU,CHRIS BARNETT,2024-10-26,- - -,- - -
FARID BASHARAT,VICTOR HUGO,2024-10-26,30 29 29,27 28 28
IBO ASLAN,RAFAEL CERQUEIRA,2024-10-26,- - -,- - -
ISMAIL NAURDIEV,BRUNO SILVA,2024-10-26,30 30 30,27 27 27
RINAT FAKHRETDINOV,CARLOS LEAL,2024-10-26,29 30 29,28 27 28
GEOFF NEAL,RAFAEL DOS ANJOS,2024-10-26,- - -,- - -
VINCE CACHERO,RONNIE LAWRENCE,2021-02-27,18 18 18,20 20 20
DUSTIN JACOBY,MAXIM GRISHIN,2021-02-27,29 29 29,28 28 28
JAIRZINHO ROZENSTRUIK,CIRYL GANE,2021-02-27,45 45 45,50 50 50
NIKITA KRYLOV,MAGOMED ANKALAEV,2021-02-27,28 28 28,29 29 29
MONTANA DE LA ROSA,MAYRA BUENO SILVA,2021-02-27,28 27 28,28 28 28
ALEXIS DAVIS,SABINA MAZO,2021-02-27,30 30 30,27 26 27
ALEXANDER HERNANDEZ,THIAGO MOISES,2021-02-27,27 27 28,30 30 29
PEDRO MUNHOZ,JIMMIE RIVERA,2021-02-27,29 30 30,28 27 27
ALEX CACERES,KEVIN CROOM,2021-02-27,30 30 30,26 26 27
STIPE MIOCIC,FRANCIS NGANNOU,2021-03-27,9 9 9,10 10 10
MARC-ANDRE BARRIAULT,ABU AZAITAR,2021-03-27,19 19 19,19 19 19
GILLIAN ROBERTSON,MIRANDA MAVERICK,2021-03-27,27 28 27,30 29 30
JAMIE MULLARKEY,KHAMA WORTHY,2021-03-27,- - -,- - -
SEAN O'MALLEY,THOMAS ALMEIDA,2021-03-27,19 20 20,18 18 17
SHANE YOUNG,OMAR MORALES,2021-03-27,27 27 27,30 30 30
MODESTAS BUKAUSKAS,MICHAL OLEKSIEJCZUK,2021-03-27,28 28 29,29 29 28
TYRON WOODLEY,VICENTE LUQUE,2021-03-27,- - -,- - -
JARED GOODEN,ABUBAKAR NURMAGOMEDOV,2021-03-27,27 27 27,30 30 30
ALONZO MENIFIELD,FABIO CHERANT,2021-03-27,- - -,- - -
GABRIEL BENITEZ,MAHESHATE,2024-04-27,29 28 28,28 29 29
RYAN SPANN,BOGDAN GUSKOV,2024-04-27,10 10 10,9 9 9
MATHEUS NICOLAU,ALEX PEREZ,2024-04-27,9 9 9,10 10 10
TIM MEANS,UROS MEDIC,2024-04-27,- - -,- - -
JONATHAN PEARCE,DAVID ONAMA,2024-04-27,28 28 28,29 29 29
RANI YAHYA,VICTOR HENRY,2024-04-27,18 17 19,19 20 19
AUSTIN HUBBARD,MICHAL FIGLAK,2024-04-27,29 29 29,28 28 28
IVANA PETROVIC,LIANG NA,2024-04-27,19 19 19,19 18 18
ARIANE DA SILVA,KARINE SILVA,2024-04-27,28 27 28,29 30 29
AUSTEN LANE,JHONATA DINIZ,2024-04-27,10 10 10,8 9 9
JAMES LLONTOP,CHRIS PADILLA,2024-04-27,- - -,- - -
DON'TALE MAYES,CAIO MACHADO,2024-04-27,29 29 29,28 28 28
MARNIC MANN,KETLEN SOUZA,2024-04-27,27 27 27,30 30 30
MUHAMMAD MOKAEV,MANEL KAPE,2024-07-27,29 30 29,28 27 28
LEON EDWARDS,BELAL MUHAMMAD,2024-07-27,47 47 46,48 48 49
JAKE HADLEY,CAOLAN LOUGHRAN,2024-07-27,29 30 30,28 27 27
KING GREEN,PADDY PIMBLETT,2024-07-27,- - -,- - -
TOM ASPINALL,CURTIS BLAYDES,2024-07-27,- - -,- - -
SHAUNA BANNON,ALICE ARDELEAN,2024-07-27,30 29 28,27 28 29
JULIO ARCE,BELAL MUHAMMAD,2024-07-27,47 47 46,48 48 49
MODESTAS BUKAUSKAS,MARCIN PRACHNIO,2024-07-27,19 20 19,19 18 19
ARNOLD ALLEN,GIGA CHIKADZE,2024-07-27,29 29 29,28 28 28
CHRISTIAN LEROY DUNCAN,GREGORY RODRIGUES,2024-07-27,27 27 27,30 30 30
OBAN ELLIOTT,PRESTON PARSONS,2024-07-27,30 29 30,27 28 27
NATHANIEL WOOD,DANIEL PINEDA,2024-07-27,29 29 29,27 27 28
SAM PATTERSON,KIEFER CROSBIE,2024-07-27,- - -,- - -
MICK PARKIN,LUKASZ BRZESKI,2024-07-27,- - -,- - -
MOLLY MCCANN,BRUNA BRASIL,2024-07-27,27 28 27,30 29 30
KAI KARA-FRANCE,BRANDON ROYVAL,2020-09-27,9 9 9,10 10 10
DOMINICK REYES,JAN BLACHOWICZ,2020-09-27,10 9 9,9 10 10
ISRAEL ADESANYA,PAULO COSTA,2020-09-27,10 10 10,9 9 9
HAKEEM DAWODU,ZUBAIRA TUKHUGOV,2020-09-27,29 30 28,28 27 29
KETLEN VIEIRA,SIJARA EUBANKS,2020-09-27,29 29 29,28 28 28
BRAD RIDDELL,ALEX DA SILVA,2020-09-27,29 29 29,28 28 28
DIEGO SANCHEZ,JAKE MATTHEWS,2020-09-27,26 26 26,30 30 30
KHADIS IBRAGIMOV,DANILO MARQUES,2020-09-27,28 28 27,29 29 30
JUAN ESPINO,JEFF HUGHES,2020-09-27,- - -,- - -
SHANE YOUNG,LUDOVIT KLEIN,2020-09-27,- - -,- - -
WILLIAM KNIGHT,ALEKSA CAMUR,2020-09-27,29 30 30,28 27 27
MANA MARTINEZ,GUIDO CANNETTI,2021-08-28,29 28 29,28 29 28
JAMALL EMMERS,PAT SABATINI,2021-08-28,- - -,- - -
JJ ALDRICH,VANESSA DEMOPOULOS,2021-08-28,30 30 30,27 27 27
SAM ALVEY,WELLINGTON TURMAN,2021-08-28,27 27 28,28 28 27
DUSTIN JACOBY,DARREN STEWART,2021-08-28,- - -,- - -
KEVIN LEE,DANIEL RODRIGUEZ,2021-08-28,28 28 28,29 29 29
ANDRE PETROSKI,MICHEAL GILLMORE,2021-08-28,19 20 19,19 18 19
ALESSIO DI CHIRICO,ABDUL RAZAK ALHASSAN,2021-08-28,- - -,- - -
MAKHMUD MURADOV,GERALD MEERSCHAERT,2021-08-28,10 10 10,9 9 9
BRYAN BATTLE,GILBERT URBINA,2021-08-28,9 10 9,10 9 10
RICKY TURCIOS,BRADY HIESTAND,2021-08-28,29 28 29,28 29 28
EDSON BARBOZA,GIGA CHIKADZE,2021-08-28,18 18 18,20 20 20
