fighter_name,height,weight,reach,stance,date_of_birth,slpm,str_acc,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_def,sub_avg,str_acc_num,takedowns_acc_num,weight_lbs,reach_inches
Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,1976-09-30,2.91,42%,2.34,66%,0.76,53%,69%,0.7,42.0,53.0,155.0,73.0
John Elam,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
Jon Olav Einemo,"6' 6""",253 lbs.,,Orthodox,1975-12-10,2.15,52%,3.05,52%,1.73,55%,43%,0.0,52.0,55.0,253.0,
John Paul Elias,"6' 4""",205 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,205.0,
Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,,2.07,61%,2.38,67%,2.07,11%,50%,3.6,61.0,11.0,155.0,72.0
Saul Elizondo,"5' 7""",135 lbs.,,,1985-07-17,2.07,30%,4.93,48%,2.0,100%,66%,1.0,30.0,100.0,135.0,
Justin Eilers,"6' 1""",235 lbs.,,Orthodox,1978-06-28,2.86,43%,5.66,49%,0.82,25%,50%,0.0,43.0,25.0,235.0,
Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,1985-03-28,2.47,39%,2.83,60%,2.04,47%,86%,0.4,39.0,47.0,170.0,71.0
Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,1984-05-16,3.5,38%,3.08,52%,2.7,33%,58%,1.2,38.0,33.0,145.0,71.0
Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,1985-03-28,1.62,47%,3.45,48%,3.17,40%,0%,1.1,47.0,40.0,155.0,72.0
Eddy Ellis,"5' 9""",170 lbs.,,Orthodox,,3.4,69%,1.53,68%,4.0,66%,50%,2.0,69.0,66.0,170.0,
Cameron Else,"5' 9""",135 lbs.,"71""",Switch,1987-04-27,1.92,36%,5.58,58%,0.0,0%,0%,0.0,36.0,0.0,135.0,71.0
Lisa Ellis,"5' 4""",115 lbs.,,,1982-11-15,1.68,48%,2.32,57%,4.19,63%,50%,0.6,48.0,63.0,115.0,
Anna Elmose,"5' 3""",115 lbs.,,Orthodox,1984-10-06,3.68,49%,4.64,56%,0.0,0%,33%,0.0,49.0,0.0,115.0,
Tim Elliott,"5' 7""",125 lbs.,"66""",Southpaw,1986-12-24,3.35,45%,2.49,59%,4.01,49%,58%,1.1,45.0,49.0,125.0,66.0
